Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-05-04,1,17,µg/mc
"Parco S. Chiara",PM10,2019-05-04,2,19,µg/mc
"Parco S. Chiara",PM10,2019-05-04,3,17,µg/mc
"Parco S. Chiara",PM10,2019-05-04,4,15,µg/mc
"Parco S. Chiara",PM10,2019-05-04,5,13,µg/mc
"Parco S. Chiara",PM10,2019-05-04,6,13,µg/mc
"Parco S. Chiara",PM10,2019-05-04,7,13,µg/mc
"Parco S. Chiara",PM10,2019-05-04,8,18,µg/mc
"Parco S. Chiara",PM10,2019-05-04,9,17,µg/mc
"Parco S. Chiara",PM10,2019-05-04,10,12,µg/mc
"Parco S. Chiara",PM10,2019-05-04,11,6,µg/mc
"Parco S. Chiara",PM10,2019-05-04,12,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,13,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,14,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,15,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,16,5,µg/mc
"Parco S. Chiara",PM10,2019-05-04,17,4,µg/mc
"Parco S. Chiara",PM10,2019-05-04,18,5,µg/mc
"Parco S. Chiara",PM10,2019-05-04,19,8,µg/mc
"Parco S. Chiara",PM10,2019-05-04,20,11,µg/mc
"Parco S. Chiara",PM10,2019-05-04,21,13,µg/mc
"Parco S. Chiara",PM10,2019-05-04,22,11,µg/mc
"Parco S. Chiara",PM10,2019-05-04,23,7,µg/mc
"Parco S. Chiara",PM10,2019-05-04,24,3,µg/mc
"Parco S. Chiara",PM10,2019-05-05,1,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,2,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,3,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,4,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,5,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,6,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,7,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,8,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,9,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,10,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,11,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,12,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,13,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,14,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,15,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,16,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,17,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,18,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,19,1,µg/mc
"Parco S. Chiara",PM10,2019-05-05,20,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,21,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,22,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,23,2,µg/mc
"Parco S. Chiara",PM10,2019-05-05,24,2,µg/mc
"Parco S. Chiara",PM10,2019-05-06,1,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,2,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,3,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,4,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,5,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,6,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,7,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,8,4,µg/mc
"Parco S. Chiara",PM10,2019-05-06,9,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,10,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,11,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,12,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,13,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,14,2,µg/mc
"Parco S. Chiara",PM10,2019-05-06,15,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,16,3,µg/mc
"Parco S. Chiara",PM10,2019-05-06,17,4,µg/mc
"Parco S. Chiara",PM10,2019-05-06,18,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,19,5,µg/mc
"Parco S. Chiara",PM10,2019-05-06,20,6,µg/mc
"Parco S. Chiara",PM10,2019-05-06,21,6,µg/mc
"Parco S. Chiara",PM10,2019-05-06,22,6,µg/mc
"Parco S. Chiara",PM10,2019-05-06,23,6,µg/mc
"Parco S. Chiara",PM10,2019-05-06,24,6,µg/mc
"Parco S. Chiara",PM10,2019-05-07,1,7,µg/mc
"Parco S. Chiara",PM10,2019-05-07,2,9,µg/mc
"Parco S. Chiara",PM10,2019-05-07,3,10,µg/mc
"Parco S. Chiara",PM10,2019-05-07,4,9,µg/mc
"Parco S. Chiara",PM10,2019-05-07,5,12,µg/mc
"Parco S. Chiara",PM10,2019-05-07,6,16,µg/mc
"Parco S. Chiara",PM10,2019-05-07,7,19,µg/mc
"Parco S. Chiara",PM10,2019-05-07,8,20,µg/mc
"Parco S. Chiara",PM10,2019-05-07,9,18,µg/mc
"Parco S. Chiara",PM10,2019-05-07,10,12,µg/mc
"Parco S. Chiara",PM10,2019-05-07,11,9,µg/mc
"Parco S. Chiara",PM10,2019-05-07,12,9,µg/mc
"Parco S. Chiara",PM10,2019-05-07,13,11,µg/mc
"Parco S. Chiara",PM10,2019-05-07,14,12,µg/mc
"Parco S. Chiara",PM10,2019-05-07,15,14,µg/mc
"Parco S. Chiara",PM10,2019-05-07,16,16,µg/mc
"Parco S. Chiara",PM10,2019-05-07,17,15,µg/mc
"Parco S. Chiara",PM10,2019-05-07,18,16,µg/mc
"Parco S. Chiara",PM10,2019-05-07,19,18,µg/mc
"Parco S. Chiara",PM10,2019-05-07,20,21,µg/mc
"Parco S. Chiara",PM10,2019-05-07,21,22,µg/mc
"Parco S. Chiara",PM10,2019-05-07,22,20,µg/mc
"Parco S. Chiara",PM10,2019-05-07,23,22,µg/mc
"Parco S. Chiara",PM10,2019-05-07,24,22,µg/mc
"Parco S. Chiara",PM10,2019-05-08,1,25,µg/mc
"Parco S. Chiara",PM10,2019-05-08,2,27,µg/mc
"Parco S. Chiara",PM10,2019-05-08,3,23,µg/mc
"Parco S. Chiara",PM10,2019-05-08,4,25,µg/mc
"Parco S. Chiara",PM10,2019-05-08,5,24,µg/mc
"Parco S. Chiara",PM10,2019-05-08,6,25,µg/mc
"Parco S. Chiara",PM10,2019-05-08,7,25,µg/mc
"Parco S. Chiara",PM10,2019-05-08,8,27,µg/mc
"Parco S. Chiara",PM10,2019-05-08,9,27,µg/mc
"Parco S. Chiara",PM10,2019-05-08,10,28,µg/mc
"Parco S. Chiara",PM10,2019-05-08,11,28,µg/mc
"Parco S. Chiara",PM10,2019-05-08,12,23,µg/mc
"Parco S. Chiara",PM10,2019-05-08,13,20,µg/mc
"Parco S. Chiara",PM10,2019-05-08,14,19,µg/mc
"Parco S. Chiara",PM10,2019-05-08,15,20,µg/mc
"Parco S. Chiara",PM10,2019-05-08,16,17,µg/mc
"Parco S. Chiara",PM10,2019-05-08,17,14,µg/mc
"Parco S. Chiara",PM10,2019-05-08,18,6,µg/mc
"Parco S. Chiara",PM10,2019-05-08,19,4,µg/mc
"Parco S. Chiara",PM10,2019-05-08,20,5,µg/mc
"Parco S. Chiara",PM10,2019-05-08,21,5,µg/mc
"Parco S. Chiara",PM10,2019-05-08,22,6,µg/mc
"Parco S. Chiara",PM10,2019-05-08,23,8,µg/mc
"Parco S. Chiara",PM10,2019-05-08,24,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,1,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,2,11,µg/mc
"Parco S. Chiara",PM10,2019-05-09,3,12,µg/mc
"Parco S. Chiara",PM10,2019-05-09,4,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,5,11,µg/mc
"Parco S. Chiara",PM10,2019-05-09,6,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,7,11,µg/mc
"Parco S. Chiara",PM10,2019-05-09,8,13,µg/mc
"Parco S. Chiara",PM10,2019-05-09,9,13,µg/mc
"Parco S. Chiara",PM10,2019-05-09,10,10,µg/mc
"Parco S. Chiara",PM10,2019-05-09,11,4,µg/mc
"Parco S. Chiara",PM10,2019-05-09,12,3,µg/mc
"Parco S. Chiara",PM10,2019-05-09,13,2,µg/mc
"Parco S. Chiara",PM10,2019-05-09,14,1,µg/mc
"Parco S. Chiara",PM10,2019-05-09,15,2,µg/mc
"Parco S. Chiara",PM10,2019-05-09,16,6,µg/mc
"Parco S. Chiara",PM10,2019-05-09,17,8,µg/mc
"Parco S. Chiara",PM10,2019-05-09,18,11,µg/mc
"Parco S. Chiara",PM10,2019-05-09,19,20,µg/mc
"Parco S. Chiara",PM10,2019-05-09,20,26,µg/mc
"Parco S. Chiara",PM10,2019-05-09,21,23,µg/mc
"Parco S. Chiara",PM10,2019-05-09,22,20,µg/mc
"Parco S. Chiara",PM10,2019-05-09,23,19,µg/mc
"Parco S. Chiara",PM10,2019-05-09,24,18,µg/mc
"Parco S. Chiara",PM10,2019-05-10,1,15,µg/mc
"Parco S. Chiara",PM10,2019-05-10,2,15,µg/mc
"Parco S. Chiara",PM10,2019-05-10,3,14,µg/mc
"Parco S. Chiara",PM10,2019-05-10,4,17,µg/mc
"Parco S. Chiara",PM10,2019-05-10,5,14,µg/mc
"Parco S. Chiara",PM10,2019-05-10,6,15,µg/mc
"Parco S. Chiara",PM10,2019-05-10,7,16,µg/mc
"Parco S. Chiara",PM10,2019-05-10,8,12,µg/mc
"Parco S. Chiara",PM10,2019-05-10,9,13,µg/mc
"Parco S. Chiara",PM10,2019-05-10,10,11,µg/mc
"Parco S. Chiara",PM10,2019-05-10,11,9,µg/mc
"Parco S. Chiara",PM10,2019-05-10,12,10,µg/mc
"Parco S. Chiara",PM10,2019-05-10,13,9,µg/mc
"Parco S. Chiara",PM10,2019-05-10,14,10,µg/mc
"Parco S. Chiara",PM10,2019-05-10,15,12,µg/mc
"Parco S. Chiara",PM10,2019-05-10,16,12,µg/mc
"Parco S. Chiara",PM10,2019-05-10,17,14,µg/mc
"Parco S. Chiara",PM10,2019-05-10,18,12,µg/mc
"Parco S. Chiara",PM10,2019-05-10,19,18,µg/mc
"Parco S. Chiara",PM10,2019-05-10,20,27,µg/mc
"Parco S. Chiara",PM10,2019-05-10,21,29,µg/mc
