N_prog;Num_archivio;data_rilascio_prima_autorizzazione;Nome_Impresa_agricola;Azienda_zootecnica;CAP;sede_impresa_agricola;indirizzo_impresa_agricola;CCIAA;pref;tel;società;malga;PEC;indirizzo_e_mail;Altitudine;Latitudine;Longitudine;Comune_Sede_Agriturismo;Indirizzo_agriturismo;Denominazione_Agriturismo;N_appartamenti;N_stanze_in_appartamento;Tot_posti_letto_in_appartamento;N_bagni_appartamento;N_Stanze;Tot_posti_letto_in_stanze;N_bagni_in_stanze;N_tot_stanze_e_stanze_in_appartamento;Tot_posti_letto;Alloggio_in_appartamenti;Alloggio_in_stanze;Prima_colazione;Ristorazione_solo_per_alloggiati;Servizio_Ristorante_per_passanti;N_posti_tavola_interni_a_struttura;N_posti_tavola_esterni_alla_struttura;N_tot_posti_tavola;N_tot_Bagni;Agricampeggio;N_piazzole;N_tot_posti_in_campeggio;Fattoria_didattica;Altre_attività_ricreative;Degustazione;Classificazione_punteggio_tabella_1;Classificazione_punteggio_tabella_2;Classificazione_punteggio_tabella_3;ASSEGNAZIONE_MARGHERITE
1;10;11/11/1986;DALLAGO LUCIANO;no;38060;Aldeno;Via S. D'Acquisto n. 4;29251/97;0461;842629;no;no;luciano.dallago@pec.agritel.it;gastone.dallago@smach.it ;810;;;Garniga Terme;Loc. al Lago n. 15;DALLAGO LUCIANO;2;5;10;2;0;0;0;5;10;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;0;0;0;
2;26;16/12/1986;ARMAN CRISTINA;no;38010;Faedo;Loc. Pineta - Maso Nello;137876/96;0461;650384;no;no;cristina.arman@pec.agritel.it;masonello@hotmail.com ;595;;;Faedo;Loc. Pineta - Maso Nello;MASO NELLO;1;2;4;1;4;8;4;6;12;si;si;si;no;si;30;0;30;1;no;0;0;si;;si;31;40;10;3
3;37;22/12/1986;INAMA FRANCESCO;no;38010;Sanzeno;Via Casalini n. 74;130041/96;0463;434072;no;no;inama.francesco@cia.legalmail.it;;641;;;Sanzeno;Via Casalini n. 74;ANAUNIA;0;0;0;0;5;10;5;5;10;no;si;si;no;no;0;0;0;0;no;0;0;no;;no;22;19;6;2
4;49;15/01/1987;MONTIBELLER VALTER;no;38050;Roncegno;Via Prose n. 1;138559/96;0461;773349;no;no;AZ.MONTIBELLER@PEC.IT;;535;;;Roncegno;Via Prose n. 1;MONTIBELLER;6;6;8;6;4;8;4;10;16;si;si;si;no;si;43;0;43;2;si;15;30;si;bagni di fieno;si;32;24;10;2
5;52;20/01/1987;BRESCIANI ITALO;no;38060;Tenno;Via Diaz n. 40 - Fraz. Cologna;138928/96;0464;521701;no;no;italo.bresciani@pec.agritel.it;;428;;;Tenno;Loc. Fontanelle;PIZACOL DI BRESCIANI ITALO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;35;0;35;2;no;0;0;no;;no;7;11;2;2
6;61;30/01/1987;FONTANARI ETTORE;no;38057;Pergine Valsugana;Via Chimelli n. 25;38575/97;0461;530023;no;no;ettore.fontanari@pec.agritel.it;;482;;;Pergine Valsugana;Via Chimelli n. 25;FONTANARI ETTORE;4;6;9;4;0;0;0;6;9;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;8;14;4;2
7;68;30/01/1987;MARINCONZ GINO;no;38010;Coredo;Via G. Inama n. 21;61840/97;0463;536328;no;no;GINO.MARINCONZ@PEC.IT;;831;;;Coredo;Via G. Inama n. 21;MARINCONZ GINO;3;6;11;3;0;0;0;6;11;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;9;12;4;2
8;74;06/02/1987;BERNARDI ARMANDA BORTOLOTTI;no;38057;Pergine Valsugana;Via Montesei n. 2;141055/96;0461;530125;no;no;AGRITUR.BORTOLOTTI@PEC.CGN.IT;agritur.bortolotti@tin.it;482;;;Pergine Valsugana;Via Montesei n. 4;AGRITUR BORTOLOTTI;2;2;8;2;6;14;6;8;22;si;si;si;no;si;25;0;25;2;no;0;0;si;;no;31;26;11;3
9;94;06/05/1987;ZAMBONI PIA;no;38040;Bosentino;Maso Fosina n. 5;129820/96;0461;848468;no;no;pia.zamboni@pec.agritel.it;;700;;;Calceranica al Lago;Maso Marini;MASO MARINI;3;5;8;3;0;0;0;5;8;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;27;39;15;4
10;96;06/05/1987;DATRES LAURO;no;38020;Livo;Fraz. Preghena n. 61;34753/97;0463;533004;no;no;LAURODATRES@PEC.IT;;741;;;Livo;Fraz. Preghena n. 61;DATRES;1;3;6;1;0;0;0;3;6;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;10;11;5;2
11;102;15/05/1987;CICOLINI IVO;no;38020;Rabbi;Fraz. S. Bernardo n. 28/A;155766/96;0463;985413;no;si;cicolini.ivo@cia.legalmail.it;;782;;;Monclassico;Loc. Campocarlomagno;MALGA MONDIFRA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;36;18;54;1;no;0;0;no;;si;17;28;10;3
12;106;25/05/1987;CASEIFICIO SOCIALE COMPRENSORIALE DI PRIMIERO;no;38054;MEZZANO;Via Roma n. 179;81745;0439;62941;si;si;CASEIFICIOPRIMIERO@PEC.COOPERAZIONETRENTINA.IT;;2000;;;SIROR;Località Passo Rolle;MALGA ROLLE;0;0;0;0;0;0;0;0;0;no;no;no;no;si;51;0;51;2;no;0;0;no;;no;19;23;6;2
13;106/bis;29/07/2011;CASEIFICIO SOCIALE COMPRENSORIALE DI PRIMIERO;no;38054;MEZZANO;Via Roma n. 179;81745;0439;62941;si;si;CASEIFICIOPRIMIERO@PEC.COOPERAZIONETRENTINA.IT;;0;;;Canal S. Bovo;Loc. Malga Fossernica di Dentro;MALGA FOSSERNICA DI DENTRO;0;0;0;0;0;0;0;0;0;no;no;no;no;si;9;0;9;1;no;0;0;no;;si;;;;
14;112;25/06/1987;CORRA' RENZO;no;38010;Coredo;Fraz. Tavon - Via Giovanni Canestrin n. 31;23136/97;0463;536320;no;no;RENZO.CORRA@PEC.IT;;831;;;Coredo;Fraz. Tavon n. 72;CORRA' RENZO;3;4;8;3;0;0;0;4;8;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;19;17;14;2
15;132;11/08/1987;MALGHE PASCOLI TONADICO;no;38054;Tonadico;Via Rioni n. 1;;0439;64657;si;si;MALGHEPASCOLI@PEC.COLDIRETTI.IT;;1824;;;TONADICO;MALGA VENEGIOTA;MALGA VENEGIOTA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;0;30;2;no;0;0;no;;no;15;19;3;2
16;149;31/05/1988;STANCHER NATALE;no;38010;Coredo;Fraz. Tavon n. 15/B;93847/97;0463;536105;no;no;stancher.natale@cia.legalmail.it;;831;;;Coredo;Fraz. Tavon n. 55;STANCHER NATALE;1;3;5;2;0;0;0;3;5;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;11;13;5;2
17;152;13/06/1988;TURRA GIORGIO;no;38054;Tonadico;Via Siror n. 15;148330/96;0439;64600;no;si;giorgio.turra@pec.agritel.it;;1897;;;Tonadico;Malga Pala;MALGA PALA;0;0;0;0;0;0;0;0;0;no;no;no;no;si;15;15;30;1;no;0;0;no;;no;12;19;7;1
18;154;21/07/1988;FEDERAZIONE PROVINCIALE ALLEVATORI;no;38123;Trento;Via delle Bettine n. 40;;0461;432111;si;si;segreteria@pec.apatrento.it;;1900;;;TONADICO;MALGA JURIBELLO;MALGA JURIBELLO;0;0;0;0;4;24;0;4;24;no;si;si;no;si;60;0;60;2;no;0;0;no;;no;21;34;7;2
19;162;22/09/1988;IELLICI MARIA TERESA;si;38030;Castello Molina di Fiemme;Via Avisio n. 26;92164/97;0462;230137;no;no;mariateresa.iellici@pec.agritel.it;;965;;;Castello Molina di Fiemme;Via Avisio n. 26;IELLICI MARIA TERESA;0;0;0;0;9;21;9;9;21;no;si;no;no;no;0;0;0;0;no;0;0;no;;no;20;12;4;2
20;178;23/01/1989;TAVERNARO M. GIOVANNA;no;38054;Siror;Via Cismon n. 48;151142/96;0439;64491;no;si;mariagiovanna.tavernaro@pec.agritel.it;;750;;;Tonadico;Malga Canali;MALGA CANALI;0;0;0;0;0;0;0;0;0;no;no;no;no;si;30;0;30;1;no;0;0;no;;no;17;25;5;2
21;179;07/02/1989;TOMASI REMO;no;38100;Cognola - Trento;Loc.  Bergamini n. 3 ;151052/96;0461;983079;no;no;maso.bergamini@cia.legalmail.it;info@masobergamini.com;550;;;Trento;Loc.  Bergamini n. 3 -  Cognola;REMO TOMASI;1;1;2;1;0;0;0;1;2;si;no;no;no;si;50;0;50;2;no;0;0;no;;si;20;29;12;3
22;180;15/02/1989;CAVAGNA GIANCARLO;no;38061;Ala;Via S. Anna n. 13;26491/97;0464;670173;no;no;giancarlo.cavagna@pec.agritel.it;;180;;;Ala;Loc. Maso Rocca/Via S. Anna 13;MASO ROCCA/CASA DEI NONNI;5;10;25;5;0;0;0;10;25;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;19;10;7;2
23;184;20/06/1989;MOSER MARIA PALLAORO;no;38050;S. Orsola Terme;Loc. Pallaori n. 2;153797;0461;551334;no;no;maria.moser@pec.agritel.it;;925;;;S. Orsola Terme;n. 2 appart. in Loc. Pallaori n. 2 e n. 2 appart. In Maso Osti;MOSER MARIA PALLAORO;2;4;6;2;0;0;0;4;6;si;no;no;no;no;0;0;0;0;no;0;0;no;;no;14;10;3;2
