remoteId;published;modified;Nome;"Abstract (descrizione in breve)";Descrizione;Competenze;"Scheda della struttura";"Orario per il pubblico";Immagine;"Tipologia della Struttura";"Servizio di appartenenza";"Incarico di appartenenza";"Ufficio di appartenenza";"Struttura di appartenenza";"Area di appartenenza";Circoscrizione;"Telefono segreteria";Fax;"Indirizzo e-mail";"Indirizzo e-mail secondario";"Indirizzo e-mail certificata";Sede;Indirizzo;CAP;"Identificativo DB AS400 struttura (univoco)";"Codice identificativo della struttura AS400";"Codice del servizio (primo livello) AS400";"Codice dell'incarico (secondo livello) AS400";"Codice dell'ufficio (terzo livello) AS400";"Codice della struttura (quarto livello) AS400";"Codice altra struttura (quinto livello) AS400";"Data inizio validità";"Data fine validità";lat;lon;address
struttura201;2009-02-24T09:51:54+01:00;2017-01-02T20:05:38+01:00;Clarina;"Sede periferica della biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Sede periferica";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 10 - Oltrefersina";0461-889879;;tn.clarina@biblio.infotn.it;;;"CENTRO CIVICO OLTREFERSINA - CLARINA";"VIA LA CLARINA, 2  1";38123;201;201;17;;1;1;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.051936;11.128265;"VIA LA CLARINA, 2  1 "
struttura202;2009-02-24T09:53:29+01:00;2017-01-02T20:05:39+01:00;"Madonna Bianca";"Sede periferica della biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Sede periferica";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 10 - Oltrefersina";0461-921377;;tn.madonnabianca@biblio.infotn.it;;;"CENTRO CIVICO MADONNA BIANCA";"PIAZZALE EUROPA, 11  ";38123;202;202;17;;1;2;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.040257;11.133271;"PIAZZALE EUROPA, 11   "
struttura203;2009-02-24T09:54:48+01:00;2017-01-02T20:05:39+01:00;Argentario;"Sede periferica della biblioteca comunale di Trento. Informazioni di contatto, orario per il pubblico, competenze, personale assegnato e altre informazioni utili.";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Sede periferica";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 06 - Argentario";0461-889797;;tn.argentario@biblio.infotn.it;;;"CENTRO CIVICO ""MARNIGHE"" A COGNOLA";"VIA CARLO E VALERIA JULG, 13  ";38121;203;203;17;;1;3;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.07694;11.141592;"VIA CARLO E VALERIA JULG, 13   "
struttura204;2009-02-24T09:55:46+01:00;2017-01-02T20:05:39+01:00;Martignano;"Punto di prestito periferico della Biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Punto di prestito";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 06 - Argentario";0461-828402;;martignano@biblio.infotn.it;;;"CENTRO CIVICO MARTIGNANO (ITEA)";"PIAZZA G. MENGHIN, 5  ";38121;204;204;17;;1;4;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.089846;11.131505;"PIAZZA G. MENGHIN, 5   "
struttura208;2009-02-24T09:56:56+01:00;2017-01-02T20:05:40+01:00;Montevaccino;"Punto di prestito periferico della Biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Punto di prestito";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 06 - Argentario";0461-992166;;puntodiprestito@montevaccino.it;;;"CENTRO CIVICO (EX ELEMENTARI) DI MONTEVACCINO";"STRADA DI MONTEVACCINO, 1  ";38121;208;208;17;;1;5;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.108166;11.144407;"STRADA DI MONTEVACCINO, 1   "
struttura209;2009-02-24T09:57:19+01:00;2017-01-02T20:05:40+01:00;Gardolo;"Sede periferica della biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Sede periferica";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 01 - Gardolo";0461-889815;;tn.gardolo@biblio.infotn.it;;;"CENTRO CIVICO SOCIO-CULTUR.""CASA PEDROLLI"" GARDOLO";"PIAZZALE L. GROFF, 2  ";38121;209;209;17;;1;6;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.107853;11.112259;"PIAZZALE L. GROFF, 2   "
struttura210;2009-02-24T09:57:48+01:00;2017-01-02T20:05:40+01:00;Meano;"Sede periferica della biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Sede periferica";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 02 - Meano";0461-889758;;tn.meano@biblio.infotn.it;;;"CENTRO CIVICO MASERA A MEANO (ITEA)";"VIA DELLE SUGARINE, 28  ";38121;210;210;17;;1;7;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.126433;11.116412;"VIA DELLE SUGARINE, 28   "
struttura212;2009-02-24T10:01:03+01:00;2017-01-02T20:05:42+01:00;Villazzano;"Sede periferica della biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Sede periferica";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";;0461-912533;;tn.villazzano@biblio.infotn.it;;;;;;212;212;17;;1;9;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;0;4.511256;" "
struttura213;2009-02-24T10:07:31+01:00;2017-01-02T20:05:42+01:00;Mattarello;"Sede periferica della biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Sede periferica";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 08 - Mattarello";0461-889868;;tn.mattarello@biblio.infotn.it;;;"CENTRO CIVICO S. VIGILIO A MATTARELLO";"VIA G. POLI, 4  ";38123;213;213;17;;1;10;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.006129;11.128142;"VIA G. POLI, 4   "
struttura214;2009-02-24T10:11:50+01:00;2017-01-02T20:05:42+01:00;Ravina;"Sede periferica della biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Sede periferica";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 05 - Ravina - Romagnano";0461-889786;;tn.ravina@biblio.infotn.it;;;"CENTRO CIVICO RAVINA";"VIA VAL GOLA, 2  ";38123;214;214;17;;1;11;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.037829;11.106558;"VIA VAL GOLA, 2   "
struttura215;2009-02-24T10:14:46+01:00;2017-01-02T20:05:43+01:00;Sopramonte;"Sede periferica della biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Sede periferica";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 03 - Bondone";0461-889897;;tn.sopramonte@biblio.infotn.it;;;"CENTRO CIVICO SOPRAMONTE";"VIA DI REVÒLTA, 4  ";38123;215;215;17;;1;12;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.071699;11.060041;"VIA DI REVÒLTA, 4   "
struttura216;2009-02-24T10:16:15+01:00;2017-01-02T20:05:43+01:00;Cadine;"Punto di prestito periferico della Biblioteca comunale di Trento. Informazioni di contatto, orario per il pubblico, competenze, personale assegnato e altre informazioni utili";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Punto di prestito";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 03 - Bondone";0461-865481;;;;;"VIGILI DEL FUOCO CADINE C/O EDIFICIO ITEA";"VIA DI COLTURA, 34  A";38123;216;216;17;;1;13;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.089459;11.067413;"VIA DI COLTURA, 34  A "
struttura217;2009-02-24T10:18:44+01:00;2017-01-02T20:05:43+01:00;Romagnano;"Punto di prestito periferico della Biblioteca comunale di Trento";;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Punto di prestito";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 05 - Ravina - Romagnano";;;;;;"CENTRO CIVICO (EX MATERNA) - ROMAGNANO";"VIA ALLE SETTE FONTANE, 1  ";38123;217;217;17;;1;14;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.017179;11.105925;"VIA ALLE SETTE FONTANE, 1   "
struttura218;2009-02-24T10:21:55+01:00;2017-01-02T20:05:44+01:00;"Ospedale - Reparti pediatrici";"Libri per i piccoli pazienti";"Presso i reparti pediatrici del S. Chiara è a disposizione dei piccoli pazienti una biblioteca di libri per ragazzi, che possono essere presi in prestito durante la degenza con la possibilità di portarli a casa e restituirli presso una qualunque biblioteca comunale del Trentino.";;;;;"Punto di prestito";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";;0461-275559;;;;;;;;218;218;17;;1;15;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;0;4.511256;" "
struttura219;2009-02-24T10:25:42+01:00;2017-01-02T20:05:44+01:00;Piscine;"In collaborazione con ASIS";"
Nei soli mesi di giugno, luglio e agosto e in collaborazione con ASIS, è attivo un servizio di prestito presso il Lido di Gardolo e il Lido Manazzon.Una volta terminato il servizio, i materiali presi in prestito possono essere restituiti presso una qualsiasi delle sedi della BIblioteca comunale di Trento.";;;"Gli orari del servizio vengono comunicati nel periodo in cui il Punto di prestito è operativo";;"Punto di prestito";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";;;;;;;;;;219;219;17;;1;16;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;0;4.511256;" "
struttura220;2009-02-24T10:27:25+01:00;2017-01-02T20:05:44+01:00;"Sede centrale";;;;;"						
					                Consulta il sito della Biblioteca comunale
    
";;"Altra struttura";"BIBLIOTECA E ARCHIVIO STORICO";;"Servizi al pubblico e organizzazione tecnica";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 12 - Centro storico - Piedicastello";0461-889521;0461-889520;info@bibcom.trento.it;;;"BIBLIOTECA COMUNALE  ""EX COLLEGIO GESUITI""";"VIA ROMA, 55  ";38122;220;220;17;;1;17;;2009-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.069736;11.120889;"VIA ROMA, 55   "
struttura130;2008-01-01T00:00:00+01:00;2017-01-02T20:05:23+01:00;Europa;"Nido d'infanzia comunale";"Vedi 						
					                informazioni dettagliate
    
";;;;/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/europa/2924093-2-ita-IT/Europa.jpg;"Nido d'infanzia";"SERVIZI ALL'INFANZIA, ISTRUZIONE E SPORT";;"Servizi per l'infanzia";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 10 - Oltrefersina";0461-924622;0461-924622;europa@citta-futura.it;;;"EDIFICIO PLURIUSO-NIDO ""EUROPA"" (ITEA)";"VIA E. FERMI, 23  ";38123;130;130;18;;1;12;;2008-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.048596;11.12777;"VIA E. FERMI, 23   "
struttura131;2008-01-01T00:00:00+01:00;2017-01-02T20:05:24+01:00;"Gianni Rodari";"Nido d'infanzia comunale";"Vedi 						
					                informazioni dettagliate
    
";;;;/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/gianni-rodari/2924092-2-ita-IT/Gianni-Rodari.jpg;"Nido d'infanzia";"SERVIZI ALL'INFANZIA, ISTRUZIONE E SPORT";;"Servizi per l'infanzia";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 11 - S. Giuseppe S. Chiara";0461-233192;0461-233192;rodari@citta-futura.it;;;"SCUOLA MATERNA E ASILO NIDO ""GIANNI RODARI""";"VIA B. GIOVANELLI, 6  ";38122;131;131;18;;1;13;;2008-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.064569;11.131185;"VIA B. GIOVANELLI, 6   "
struttura132;2008-01-01T00:00:00+01:00;2017-01-02T20:05:24+01:00;"Padre V.Tonini - Vigolo Baselga";"Nido d'infanzia comunale";"Vedi 						
					                informazioni dettagliate
    
";;;;/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/padre-v.tonini-vigolo-baselga/2924091-2-ita-IT/Padre-V.Tonini-Vigolo-Baselga.jpg;"Nido d'infanzia";"SERVIZI ALL'INFANZIA, ISTRUZIONE E SPORT";;"Servizi per l'infanzia";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 03 - Bondone";0461-866291;0461-866291;tonini@citta-futura.it;;;"ASILO NIDO-VIGILI FUOCO VIGOLO BAS.(EX ELEMENTARE)";"VIA DON LUCA DEFLORIAN, 20  ";38123;132;132;18;;1;14;;2008-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.081465;11.043728;"VIA DON LUCA DEFLORIAN, 20   "
struttura134;2008-01-01T00:00:00+01:00;2017-01-02T20:05:26+01:00;"La Mongolfiera - Mattarello";"Nido d'infanzia comunale";"Vedi 						
					                informazioni dettagliate
    
";;;;/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/la-mongolfiera-mattarello/2924073-2-ita-IT/La-Mongolfiera-Mattarello.jpg;"Nido d'infanzia";"SERVIZI ALL'INFANZIA, ISTRUZIONE E SPORT";;"Servizi per l'infanzia";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 08 - Mattarello";0461-944428;0461-942500;nido.lamongolfiera@lacoccinella.coop;;;"ASILO NIDO ""LA MONGOLFIERA"" DI MATTARELLO";"VIA DELLA ROZOLA, 36  ";38123;134;134;18;;1;16;;2008-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.011508;11.132994;"VIA DELLA ROZOLA, 36   "
struttura136;2008-01-01T00:00:00+01:00;2017-01-02T20:05:26+01:00;Oltrecastello;"Nido d'infanzia comunale";"Vedi 						
					                informazioni dettagliate
    
";;;;/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/oltrecastello/2924071-2-ita-IT/Oltrecastello.jpg;"Nido d'infanzia";"SERVIZI ALL'INFANZIA, ISTRUZIONE E SPORT";;"Servizi per l'infanzia";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 07 - Povo";0461-342169;0461-342169;nido.oltrecastello@progestrento.it;;;"ASILO NIDO DI OLTRECASTELLO";"VIA BORINO, 1  ";38123;136;136;18;;1;18;;2008-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.070423;11.162653;"VIA BORINO, 1   "
struttura137;2008-01-01T00:00:00+01:00;2017-01-02T20:05:27+01:00;"Roncafort (via Caproni)";"Nido d'infanzia comunale";"Vedi 						
					                informazioni dettagliate
    
";;;;/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/roncafort-via-caproni/2924070-2-ita-IT/Roncafort-via-Caproni.jpg;"Nido d'infanzia";"SERVIZI ALL'INFANZIA, ISTRUZIONE E SPORT";;"Servizi per l'infanzia";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 01 - Gardolo";0461-420943;0461-420943;nido.roncafort@progestrento.it;;;"ASILO NIDO PART TIME RONCAFORT (ITEA)";"VIA G. CAPRONI, 36  ";38121;137;137;18;;1;19;;2008-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.1004;11.098932;"VIA G. CAPRONI, 36   "
struttura138;2008-01-01T00:00:00+01:00;2017-01-02T20:05:27+01:00;"Viale dei Tigli";"Nido d'infanzia comunale";"Vedi 						
					                informazioni dettagliate
    
";;;;/var/comunetn/storage/images/comune/organizzazione-comunale/organigramma/articolazioni-interne/viale-dei-tigli/2924069-2-ita-IT/Viale-dei-Tigli.jpg;"Nido d'infanzia";"SERVIZI ALL'INFANZIA, ISTRUZIONE E SPORT";;"Servizi per l'infanzia";;"AREA ISTRUZIONE E CULTURA";"Circoscrizione n. 10 - Oltrefersina";0461-390147;0461-390147;nido.tigli@progestrento.it;;;"ASILO NIDO PART-TIME VIALE DEI TIGLI";"V.LE DEI TIGLI, 19  ";38123;138;138;18;;1;20;;2008-01-01T00:00:00+01:00;2200-12-31T00:00:00+01:00;46.051812;11.133118;"V.LE DEI TIGLI, 19   "
