nome,luogo di nascita,data di nascita,secolo
a Prato Giovanni,,,
a Prato Napoleone,,,
Abbondanzio,,Verso la meta del 300,300
Aconcio Jacopo,,,
Adelgiso,,Prima meta dell'800,800
Adelperone,,prima meta dell'XI secolo,1000
Adelpreto,,Fine dell'XI secolo,1000
Adelpreto di Ravenstein,Ravenstein (presso Bolzano),Seconda meta del 1100,1100
Adeodato I,,Seconda meta del 400,400
Adeodato II,,Prima meta del 500,500
Agnello,,Prima meta del 500,500
Alachi,,,
Alberti Lutti Francesca,,,
Alberto di Campo,Campo (valli Giudicarie),prima meta del 1100,1100
Alberto di Ortenburg,Ortenburg (Carinzia),Prima meta del 1300,1300
Alboino,,,
Aldrighetto di Campo,Campo (Valli Giudicarie),A cavallo tra il 1100 e il 1200,1200
Aldrighetto di Castelbarco ,,,
Alessandro,,,
Alessandro di Mazovia,Mazovia (Polonia),Seconda meta del 1300,1300
Alessandro Maria Gottardi,Venezia,30 aprile 1912,1900
Altemanno,Carinzia,A cavallo tra l'XI e il XII secolo,1100
Amatore,,Seconda meta del 700,700
Ambrosi Francesco,,,
Ammiano Marcellino,,,
Antonio da Trento,,,
Antonio Domenico Wolkenstein,,29 gennaio 1662,1600
Anzoletti Luisa,,,
Arcangeli Maurizio,Montecosaro (Macerata),1959,1900
Arduino d'Ivrea,,,
Arnaldo,sconosciuto (forse Pavia),Prima meta del 900,900
Arnoldo,,A cavallo tra l'XI e il XII secolo,1100
Aspidio,,Fine del 300,300
Asterio,,A cavallo tra il 400 e il 500,500
Attone,,Prima meta dell'XI secolo,1000
Avancini Augusto,,,
Bacchi Egidio,,,
Baldessari Iras Roberto,Innsbruck,26/01/1894,1800
Baldessari Luciano,,,
Baldessari Luciano,Rovereto,10/12/1896,1800
Barbacovi Francesco Vigilio,,,
Bartolomeo Bezzi,Fucine di Ossana,6 febbraio 1851,1800
Bartolomeo da Trento,,,
Bartolomeo Querini,Treviso,Intorno alla meta del 1200,1200
Battisti Cesare,Trento,4 febbraio 1875,1800
Battisti Gigino,Trento,1901,1900
Bazzanella Emanuele,,,
Beato Adelpreto,,Prima meta del 1100,1100
Belenzani Rodolfo,,,
Belli Pietro,,,
Benedetto da Trento,,,
Benedetto Riccabona,Cavalese,23 marzo 1807,1800
Berebgario I,,,
Bernardo,,Seconda meta dell'800,800
Bernardo Clesio,Cles,12 marzo 1485,1400
Bertaldo,,Seconda meta dell'800,800
Bertanza Giovanni,,,
"BERTOLLA, Bartolomeo Antonio",Mocenigo di Rumo (Valle di Non - Trento),13/05/1702,1700
Bettineschi Mariella,Brescia,1948,1900
Bittanti Battisti Ernesta,Brescia,1871,1800
Bonacina Carlo,Mestrino,29/09/1905,1900
Bonazza Luigi,Arco,01/02/1877,1800
Bonelli Benedetto,,,
Bonomi Agostino,,,
Bonporti Francesco Antonio,Trento,1672,1600
Bonvesin da Riva,,,
Borsieri Giovanni Battista,,,
Bresadola Giacomo,,,
Brugnara Luigi,,,
Bulow Bernhard von,,,
Cainelli Carlo,Rovereto,23/05/1896,1800
Calepino dei Calepini,,,
Canestrini Giovanni,Revo,1835,1800
Canestrini Giuseppe,,,
Carbonari,,,
Carlo Antonio de Martini,Revo,1726,1700
Carlo De Ferrari,Montechiaro (Val Venosta),2 ottobre 1885,1800
Carlo Emanuele Madruzzo,Castello d'Issogne (Val d'Aosta),5 novembre 1599,1500
Carlo Gaudenzio Madruzzo,Castello d'Issogne (Val d'Aosta),1562,1500
"Carlo IV, gia Carlo di Lussemburgo",,,
Carlo Magno,,,
Carlo V,,,
Carlo VI,,,
Carrega Ugo,Genova,17/08/1935,1900
Cassiodoro,,,
Cedino,,,
Celestino Endrici,Don,14 marzo 1866,1800
Cesarini Sforza Lamberto,Terlago,29/09/1864,1800
Chiari Giuseppe,Firenze,1926,1900
Chiesa Damiano,,,
Chini Eusebio Francesco,Segno,1645,1600
Chiocchetti Emilio,Moena,20/09/1880,1800
Ciani Giovanni,,,
Ciriaco,,Seconda meta del 400,400
Civettini Luciano,Trento,1967,1900
Claudia de' Medici,,,
Claudiano,,Seconda meta del 300,300
Clemenziano,,Verso la meta del 700,700
Cobelli Giovanni,,,
