url,Storia,Attivita,Nome,Data di nascita,Luogo di Morte,Luogo di Nascita,La vita,Data di morte
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50389&Pag=1&IdSel=1, La deputazione trentina alle costituenti di Francoforte e Vienna - KremsierI riflessi nel Trentino del periodo costituzionaleL'involuzione politica ed i controlli di poliziaLa guerra del 1866 ed il quadro delle trattative diplomaticheLa presa di posizione dei liberali trentiniLa nascita dell'irredentismoLa deputazione trentina alla Camera di Vienna,deputato alle Assemblee costituenti di Francoforte e Vienna,a Prato Giovanni,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50646&Pag=2&IdSel=1, Le istituzioni politiche e la lotta per l'autonomiaLe leggi fondamentali del 1867. La laicizzazione dello stato e la chiesa trentina,,a Prato Napoleone,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50552&Pag=3&IdSel=1, Come impostare il problema,Vescovo di Trento,Abbondanzio,Verso la meta del 300,sconosciuto,sconosciuto ,"Abbondanzio fu il secondo vescovo della Chiesa di Trento, successore di Giovino e diretto predecessore del piu celebre San Vigilio. Essendo egli appartenuto ad un periodo storico nel quale date e notizie sono alquanto rare ed incerte, non sappiamo con esattezza né l'inizio né la fine del suo episcopato. Esiste pero una data molto precisa, quella del 3 settembre 381, che costituisce in proposito un prezioso punto di riferimento e ci permette di ricostruire alcune informazioni essenziali. Nel corso di quest'anno, si tenne infatti ad Aquileia il Concilio dei vescovi di Occidente, al quale anche Abbondanzio prese parte. Il Concilio tenutosi in Aquileia era presieduto dal vescovo di quella citta, Valeriano, e dal piu celebre vescovo di Milano Ambrogio. Quest'ultimo ricoprira un ruolo di importanza fondamentale per il piano di azione missionaria sul Trentino, e puo essere ricordato come uno dei protagonisti per la nostra futura storia (1).L'assemblea era stata convocata per trattare un argomento allora di estrema attualita, quello dell'arianesimo. Sessant'anni prima, nel 321, ad Alessandria, era stata condannata l'eresia di Ario, che negava la consustanzialita tra il Padre e il Figlio e riduceva la figura di Cristo ad una funzione meramente profetica. Nel 325, la condanna contro Ario veniva rinnovata nel Concilio di Nicea. Ma il pensiero ariano, che si era gia abbondantemente diffuso presso le popolazioni dell'Europa orientale e dell'est, non tardava a propagarsi anche nella zona occidentale dell'Impero. Tre anni prima della seduta di Aquileia era morto nella celebre battaglia di Adrianopoli l'imperatore Valente, che a lungo era stato accusato di rappresentare l'esponente piu illustre dell'arianesimo di quei tempi. Ad Aquileia si discusse anche in merito alla posizione di due vescovi, Palladio e Secondiano, che abbracciarono l'eresia ariana e vennero scomunicati. Al termine della seduta, fu incaricato l'imperatore Graziano di curare l'applicabilita dei suoi disposti. Tutto il Concilio venne sapientemente orchestrato dalla regia di Ambrogio, vescovo di Milano, destinato poi a far parte del novero dei personaggi canonizzati dalla Chiesa. Senza nulla togliere alla dignita dell'operato pastorale del vescovo Abbondanzio, che lotto contro una delle dottrine che minarono piu fortemente alla base l'unita della Chiesa in tutta la sua storia e che pertanto agi per riportare l'armonia tra la popolazione in un periodo di contrasti assai accesi, fu dunque Ambrogio il protagonista assoluto sulla scena ecclesiastica, risultando decisivo anche per le sorti della Chiesa di Trento. Al suo confronto, la figura di Abbondanzio risulta essere quella di un degno comprimario. Note: 1. Per comprendere il valore della figura di Sant'Ambrogio per i destini del Trentino, si veda nella biografia di San Vigilio ai § 2 e 4.",Seconda meta del 300
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50744&Pag=4&IdSel=1, Nicolo d'ArcoJacopo Aconcio,,Aconcio Jacopo,,,,,
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50592&Pag=5&IdSel=1, Le vicende politiche,Vescovo di Trento,Adelgiso,Prima meta dell'800,sconosciuto,sconosciuto ,Il processo a carico del vescovo Adelgiso L'avvio del processo di feudalizzazione. Le tappe storiche fondamentali di questo percorso ,Seconda meta dell'800
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=458238&Pag=6&IdSel=1,,Vescovo di Trento,Adelperone,prima meta dell'XI secolo,sconosciuto,sconosciuto,"Adelperone e stato, oltreché vescovo di Trento, un potente personaggio del mondo politico dell'epoca, e a testimonianza di questo depone il fatto che egli abbia ricoperto una carica importante, quella di vice - cancelliere imperiale. Di lui si conosce con precisione la data dell'inizio del suo pontificato, il 1084, esattamente l'anno precedente alla scomparsa di uno dei piu grandi pontefici della storia, Gregorio VII. Nel 1099 concesse il monastero di Gironda, nei pressi di Cremona, all'abate Pietro di Acquanegra, riservando pero a sé stesso e ai suoi successori sul soglio tridentino il controllo sulla direzione e sulla vita del monastero, che si esercitava in massima parte nel diritto a nominarne l'abate. Dall'imperatore Enrico IV, col quale aveva un rapporto di estrema fiducia, ottenne anche il prestigioso incarico di dirigere l'abbazia di Benediktbeuern, situata nella diocesi di Augusta, per la quale si attivo al fine di promuoverne la riforma. Questo vescovo dedico un'attenzione particolare al culto di San Romedio, in Val di Non, che egli stesso, a quanto pare, venerava con fervore. Giunse, tra l'altro, a beneficiare il santuario di San Romedio di tre cospicue donazioni, che favorirono il rifiorire della vita di questo luogo sacro e contribuirono al consolidarsi e al diffondersi del culto del santo. Adelperone figura ancora vivente nel 1104, anno in cui e citato tra i partecipanti alla dieta di Regensburg.",Primi anni del 1100 (ancora vivente nel 1104)
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50390&Pag=7&IdSel=1, Il potere dei vescovi si sviluppa all?ombra dell?Impero,Vescovo di Trento,Adelpreto,Fine dell'XI secolo,sconosciuto,sconosciuto ,"Non abbiamo una data sicura in merito all'inizio dell'episcopato di Adelpreto. Sappiamo piuttosto che fu il successore del vescovo Gebardo e che venne nominato a capo della diocesi trentina fra il 1120 e il 1124, per rimanervi soltanto pochi anni. Una delle poche notizie che abbiamo di lui ce la fornisce Giovanni Hinderbach, il vescovo di Trento vissuto nel XV secolo, che nella sua attivita di grande umanista fu anche ricercatore prezioso di notizie sulla vita di alcuni suoi predecessori (1). Secondo Hinderbach, Adelpreto fece costruire nella Cattedrale di San Vigilio, nel luogo dove e situato il monumento dei martiri d'Anaunia, l'altare vecchio a colonna. L'attendibilita di tale testimonianza sarebbe stata confermata anche dagli esiti degli scavi eseguiti piu recentemente in Duomo, nel corso dei quali sono stati rinvenuti dei punti di appoggio di un ciborio costruito a protezione di un altare. Questo tabernacolo marmoreo aveva, nelle basiliche paleocristiane, una copertura sostenuta da quattro colonne, le quali con tutta probabilita sono quelle di cui si parla nella nota di Hinderbach. Nel breve periodo in cui Adelpreto rimase sul seggio di San Vigilio accadde un avvenimento di fondamentale importanza per l'evoluzione delle relazioni tra Chiesa e Impero: si tratta del trattato di Worms, conclusosi nel 1122 tra l'imperatore Enrico V e il pontefice Callisto II, che prevedeva l'accordo tra le due potenze in merito alle procedure per la designazione dei vescovi. Il buon esito della trattativa, voluta insistentemente ed intelligentemente dal papa dopo avere constatato che i rapporti con il clero germanico stavano rischiando forti spaccature, concluse, perlomeno formalmente, il lungo periodo della ""lotta per le investiture"": le pretese assolute dell'imperatore ad essere l'unico a poter decidere sulle nomine dei vescovi non furono accolte, in quanto i patti prevedevano che i dignitari della Chiesa locale venissero nominati da un'assemblea di ecclesiastici. Tuttavia l'autorita imperiale, tramite una fitta rete di clientele che coinvolgevano molto da vicino il clero locale, riusci a controllare ancora a lungo le assegnazioni di sedi vescovili; inoltre, ad essa sarebbe spettata la scelta decisiva nei casi di disaccordo con la Chiesa sulla designazione. Una congettura relativa al vescovo Adelpreto e contenuta nelle ricerche di Fabio Cusin, secondo il quale questo presule avrebbe potuto, nel contesto del conflitto per le investiture, essersi schierato senza molto successo contro la posizione sostenuta dalla Santa Sede. Note:1. In merito alle raffinate qualita di umanista e di studioso proprie di Giovanni Hinderbach, si puo fare riferimento alla sua biografia, in particolare ai § 4 e 5.",Prima meta del 1100
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=50601&Pag=8&IdSel=1, Il potere dei vescovi si sviluppa all?ombra dell?Impero,Vescovo di Trento,Adelpreto di Ravenstein,Seconda meta del 1100,sconosciuto,Ravenstein (presso Bolzano),Il periodo dell'insediamento dei frati a Trento Le figure di riferimento del vescovo Adelpreto nella sua azione politica ,Prima meta del 1200
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=458242&Pag=9&IdSel=1,,Vescovo di Trento,Adeodato I,Seconda meta del 400,sconosciuto,sconosciuto,"Dalla menzione ricavata dal Dittico Udalriciano, Adeodato risulta essere il primo vescovo di Trento nel VI secolo. Esercito quindi il suo ministero durante il primo periodo del regno di Teodorico, il condottiero ostrogoto che, eliminando dalla scena politica Odoacre, il precedente dominatore dell'Italia, era diventato nel 493 sovrano della penisola ed aveva intrapreso una politica di equilibrio mirante a conciliare l'elemento barbarico con quello romanico. Un'epoca storica travagliata anche per la diocesi trentina, la cui popolazione fu costretta ad affrontare un duro periodo di carestia dopo la terribile pestilenza che era scoppiata ai tempi di Odoacre, senza che Teodorico fosse riuscito in tempi brevi a realizzare un decisivo miglioramento delle condizioni di vita. Siamo completamente privi di altre informazioni sul vescovo Adeodato, ma esiste a proposito una congettura interessante che ha dato luogo ad un singolare dibattito. Il suo nome potrebbe essere stato sdoppiato con la citazione di un altro Adeodato, segnalato nel Dittico Udalriciano relativamente alla seconda meta del secolo VI, immediatamente prima dell'episcopato di Agnello, quello nel quale avvenne il grande scisma della Chiesa trentina. Molte supposizioni sono state avanzate in merito alla sussistenza di questo doppio nome, ma quella oggi prevalentemente seguita sembra essere la seguente: mentre nessun dubbio si puo ormai avanzare in merito all'effettiva esistenza di un primo Adeodato, e probabile che anche il secondo sia veramente esistito, e sia stato designato vescovo di Trento nell'ambito di un progetto comune fra le diocesi di Trento e di Brescia per convertire al cattolicesimo romano quella frangia della popolazione ariana aderente al cosiddetto ""scisma dei tre capitoli"" (1). Cadrebbe pertanto, secondo questo orientamento, la supposizione relativa allo sdoppiamento del nome. Note: 1. Per una trattazione piu esaustiva sullo scisma dei tre capitoli, si veda nelle biografia dei vescovi Adeodato II (§ 2) ed Agnello (§ 1). ",Prima meta del 500
http://www.trentinocultura.net/asp_cat/main.asp?IDProspettiva=19&TipoVista=Scheda&IdObj=458244&Pag=10&IdSel=1,,Vescovo di Trento,Adeodato II,Prima meta del 500,sconosciuto,sconosciuto,La controversa identificazione del vescovo Adeodato e il progetto di evangelizzazione che nel Nord Italia coinvolgeva anche la diocesi di TrentoLe origini dello scisma dei tre capitoli e le sue conseguenze sulla diocesi trentinaIl dilagare delle divisioni all'interno della Chiesa durante l'episcopato di Adeodato II ,A cavallo tra il 500 e il 600
