NOME,DESCRIZIONE,ENGLISH DESCRIPTION,CATEGORIA,LATITUDINE (es. 46.281419),LONGITUDINE (es. 11.523885),VIA,CAP,LOCALITA'/CITTA',CONTATTO NOME,CONTATTO TELEFONO,CONTATTO EMAIL,CONTATTO FAX,CONTATTO URL,ORARI,SERVIZI,PREZZI (camera singola mezza pensione),TAG 1,TAG 2,TAG 3,TAG 4,TAG AGGIUNTIVI,CAPIENZA (letti),STORIA,CURIOSITA',COME ARRIVARE,ACCESSIBILITA'
A LE DUE SPADE,"Marchi ""Strada del Vino e dei Sapori"" e ""Osteria tipica Trentina"", che certifica la qualità dell’offerta e dei prodotti enogastronomici. I prodotti sono di origine rigorosamente trentina e i vini serviti in tavola sono solo vini locali. ","""Trentino’s wine and flavour route"" and the ""Osteria Tipica Trentina"" brands, which certifie the quality of the service, food and wine products served in these restaurants. All of the products are strictly local, and all wines are made in the area; ",Ristorante,46.067225,11.120036,"Via Don A. Rizzi, 11 ",38122,Trento,,(+39) 0461 234343,info@leduespade.com ,(+39) 0461 920202 ,www.leduespade.com,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
AL VO’,"Marchi ""Strada del Vino e dei Sapori"" e ""Osteria tipica Trentina"", che certifica la qualità dell’offerta e dei prodotti enogastronomici. I prodotti sono di origine rigorosamente trentina e i vini serviti in tavola sono solo vini locali. ","""Trentino’s wine and flavour route"" and the ""Osteria Tipica Trentina"" brands, which certifie the quality of the service, food and wine products served in these restaurants. All of the products are strictly local, and all the wines are made in the area; ",Ristorante,46.070791,11.123888,"Vicolo del Vo’, 11",38122,Trento,,(+39) 0461 985374,info@ristorantealvo.it,(+39) 0461 232131,www.ristorantealvo.it,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
AL VOLT,"Marchio ""Osteria tipica Trentina"", che certifica la qualità dell’offerta e dei prodotti enogastronomici. I prodotti sono di origine rigorosamente trentina e i vini serviti in tavola sono solo vini locali. "," The ""Osteria Tipica Trentina"" brand, which certifies the quality of the service, food and wine products served in these restaurants. All of the products are strictly local, and all the wines are made in the area; ",Ristorante,46.142050,11.155242,"Via Santa Croce ,16 ",38122,Trento,,(+39) 0461 983776,trattoria_al_volt@yahoo.it ,(+39) 0461 091011 ,,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
DUE MORI ,"Marchi ""Strada del Vino e dei Sapori"" e ""Osteria tipica Trentina"", che certifica la qualità dell’offerta e dei prodotti enogastronomici. I prodotti sono di origine rigorosamente trentina e i vini serviti in tavola sono solo vini locali. ","""Trentino’s wine and flavour route"" and the ""Osteria Tipica Trentina"" brands, which certifie the quality of the service, food and wine products served in these restaurants. All of the products are strictly local, and all the wines are made in the area; ",Ristorante,46.064622,11.123308,"Via S. Marco, 11",38122,Trento,,(+39) 0461 984251,info@ristoranteduemori.com,(+39) 0461 231201 ,www.ristoranteduemori.com,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
GREEN TOWER,"Marchi ""Strada del Vino e dei Sapori"" e ""Osteria tipica Trentina"", che certifica la qualità dell’offerta e dei prodotti enogastronomici. I prodotti sono di origine rigorosamente trentina e i vini serviti in tavola sono solo vini locali. ","""Trentino’s wine and flavour route"" and the ""Osteria Tipica Trentina"" brands, which certifie the quality of the service, food and wine products served in these restaurants. All of the products are strictly local, and all the wines are made in the area; ",Ristorante,46.069691,11.121088,"Piazza S. Pellico, 12 ",38122,Trento,,(+39) 0461 231545,info@ristorantegreentower.it,(+39) 0461 231545,www.ristorantegreentower.it,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
HOTEL RELAIS VILLA MADRUZZO,"Marchi ""Strada del Vino e dei Sapori"" e ""Osteria tipica Trentina"", che certifica la qualità dell’offerta e dei prodotti enogastronomici. I prodotti sono di origine rigorosamente trentina e i vini serviti in tavola sono solo vini locali. ","""Trentino’s wine and flavour route"" and the ""Osteria Tipica Trentina"" brands, which certifie the quality of the service, food and wine products served in these restaurants. All of the products are strictly local, and all the wines are made in the area; ",Ristorante,46.074016,11.146816,"Via Ponte Alto, 26",38121,Cognola,,(+39) 0461 986220,info@villamadruzzo.it,(+39) 0461 986361,www.villamadruzzo.it,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
IL LIBERTINO,"Marchi ""Strada del Vino e dei Sapori"" e ""Osteria tipica Trentina"", che certifica la qualità dell’offerta e dei prodotti enogastronomici. I prodotti sono di origine rigorosamente trentina e i vini serviti in tavola sono solo vini locali. ","""Trentino’s wine and flavour route"" and the ""Osteria Tipica Trentina"" brands, which certifie the quality of the service, food and wine products served in these restaurants. All of the products are strictly local, and all the wines are made in the area; ",Ristorante,46.070125,11.124925,"Piazza Piedicastello, 4-6 ",38122,Trento,,(+39) 0461 260085,libertinotn@gmail.com,,www.ristoranteillibertino.com,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
LA CANTINOTA,"Marchio ""Osteria tipica Trentina"", che certifica la qualità dell’offerta e dei prodotti enogastronomici. I prodotti sono di origine rigorosamente trentina e i vini serviti in tavola sono solo vini locali. ","The ""Osteria Tipica Trentina"" brand, which certifies the quality of the service, food and wine products served in these restaurants. All of the products are strictly local, and all the wines are made in the area; ",Ristorante,46.069691,11.121088,"Via S. Marco, 22-24",38122,Trento,,(+39) 0461 238527,cantinota@hotmail.it,(+39) 0461 238527,www.cantinota.editarea.com,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
SCRIGNO DEL DUOMO,"Marchi ""Strada del Vino e dei Sapori"" e ""Osteria tipica Trentina"", che certifica la qualità dell’offerta e dei prodotti enogastronomici. I prodotti sono di origine rigorosamente trentina e i vini serviti in tavola sono solo vini locali. ","""Trentino’s wine and flavour route"" and the ""Osteria Tipica Trentina"" brands, which certifie the quality of the service, food and wine products served in these restaurants. All of the products are strictly local, and all the wines are made in the area; ",Ristorante,46.067352,11.120883,"Piazza Duomo, 29",38122,Trento,,(+39) 0461 220030,info@scrignodelduomo.com,(+39) 0461 235289 ,www.scrignodelduomo.com ,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
AI TRE GAROFANI,"Marchio ""Strada del Vino e dei Sapori"", che certifica la qualità dell’offerta e dei prodotti enogastronomici.","""Trentino’s wine and flavour route"" brand, which certifies the quality of the service, food and wine products served in these restaurants.",Ristorante,46.065700,11.123022,"Via Giuseppe Mazzini, 33 ",38122,Trento,,(+39) 0461 237543,prenotazioni@aitregarofani.com,(+39) 349 6358908,www.aitregarofani.com,,,,Cucina tipica,Socializzare,,,Mangiare e bere,,,,,
