"COD_STRUTTURA_OD","COD_STRUTTURA","COD_REGIONE","COD_ASL","STRUTTURA","PARTITA_IVA","SITO_WEB","E_MAIL","COD_COMUNE","COMUNE","INDIRIZZO","CAP","TELEFONO","FAX","COD_TIPO_ASSISTENZA","ASSISTENZA","COD_TIPO_RAPPORTO","TIPO_RAPPORTO","TIPO_STRUTTURA","LATITUDINE_P","LONGITUDINE_P","LATITUDINE_V","LONGITUDINE_V"
"STR042101010101S01","010101","042","101","PRESIDIO OSPEDALIERO DI CAVALESE","01429410226","www.apss.tn.it","pierantonio.scappini@apss.tn.it","022050","CAVALESE","VIA DOSSI  17","38033","0462341045","0462242114","S01","ATTIVITA` CLINICA","1","STRUTTURA DIRETTAMENTE GESTITA","AMBULATORIO E LABORATORIO","46.2884","11.4551","46,2884","11,4551"
"STR042101010101S02","010101","042","101","PRESIDIO OSPEDALIERO DI CAVALESE","01429410226","www.apss.tn.it","pierantonio.scappini@apss.tn.it","022050","CAVALESE","VIA DOSSI  17","38033","0462341045","0462242114","S02","DIAGNOSTICA STRUMENTALE E PER IMMAGINI","1","STRUTTURA DIRETTAMENTE GESTITA","AMBULATORIO E LABORATORIO","46.2884","11.4551","46,2884","11,4551"
"STR042101010101S03","010101","042","101","PRESIDIO OSPEDALIERO DI CAVALESE","01429410226","www.apss.tn.it","pierantonio.scappini@apss.tn.it","022050","CAVALESE","VIA DOSSI  17","38033","0462341045","0462242114","S03","ATTIVITA` DI LABORATORIO","1","STRUTTURA DIRETTAMENTE GESTITA","AMBULATORIO E LABORATORIO","46.2884","11.4551","46,2884","11,4551"
"STR042101010102S05","010102","042","101","CENTRO SALUTE MENTALE CAVALESE","01429410226","www.apss.tn.it","psichiatriapergine@apss.tn.it","022050","CAVALESE","VIA ROMA  4","38033","0462242364","0462242385","S05","ASSISTENZA PSICHIATRICA","1","STRUTTURA DIRETTAMENTE GESTITA","ALTRO TIPO DI STRUTTURA TERRITORIALE","46.29017","11.463946","46,29017","11,463946"
"STR042101010103S01","010103","042","101","CENTRO DIALISI CAVALESE","01429410226","www.apss.tn.it","Carlo.Rovati@apss.tn.it","022050","CAVALESE","VIA DOSSI  17","38033","0462242109","0462242143","S01","ATTIVITA` CLINICA","1","STRUTTURA DIRETTAMENTE GESTITA","ALTRO TIPO DI STRUTTURA TERRITORIALE","46.2884","11.4551","46,2884","11,4551"
"STR042101010105S04","010105","042","101","CONSULTORIO CAVALESE","01429410226"," ","irene.decrestina@apss.tn.it","022050","CAVALESE","VIA ROMA  4","38033","0462242360","0462242369","S04","ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE","1","STRUTTURA DIRETTAMENTE GESTITA","ALTRO TIPO DI STRUTTURA TERRITORIALE","46.29017","11.463946","46,29017","11,463946"
"STR042101010401S09","010401","042","101","AZIENDA PUBBLICA SERVIZI ALLA PERSONA -  RSA PREDAZZO","01065140228","www.upipa.tn.it","upipa.predazzo@mail.infotn.it","022147","PREDAZZO","VIA E SOTTSASS  11","38037","0462501235","0462502775","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","46.313561","11.601377","46,313561","11,601377"
"STR042101010501S01","010501","042","101","POLIAMBULATORIO DI PREDAZZO","01429410226","www.apss.tn.it"," ","022147","PREDAZZO","VIA DEGASPERI  12","38037","0462508800"," ","S01","ATTIVITA` CLINICA","1","STRUTTURA DIRETTAMENTE GESTITA","AMBULATORIO E LABORATORIO","46.311858","11.599532","46,311858","11,599532"
"STR042101010501S02","010501","042","101","POLIAMBULATORIO DI PREDAZZO","01429410226","www.apss.tn.it"," ","022147","PREDAZZO","VIA DEGASPERI  12","38037","0462508800"," ","S02","DIAGNOSTICA STRUMENTALE E PER IMMAGINI","1","STRUTTURA DIRETTAMENTE GESTITA","AMBULATORIO E LABORATORIO","46.311858","11.599532","46,311858","11,599532"
"STR042101010601S09","010601","042","101","AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA TESERO","00459310223","www.casadiriposogiovanelli.org","upipa.tesero@mail.infotn.it","022196","TESERO","VIA GIOVANELLI  12","38038","0462813027","0462813027","S09","ASSISTENZA AGLI ANZIANI","2","STRUTTURA NON DIRETTAMENTE GESTITA","STRUTTURA RESIDENZIALE","46.28919","11.510085","46,28919","11,510085"
