id_Servizio,ServiceNameIT,ServiceNameDE,Category,URL,MobileContact,Email,AddressIT,AddressDE,MunicipalityIT,MunicipalityDE,DistrictIT,DistrictDE,Valid_from,Valid_until,InfoBonus,Latitude,Longitude,FamilyPassIT,FamilyPassDE
1,"Museo Casa Alcide DeGasperi, Pieve Tesino","Museo Casa Alcide DeGasperi, Pieve Tesino","b1, b2, b4",http://www.degasperitn.it/,331 4745389,museo.fdg@degasperitn.it.it,"Via Alcide De Gasperi, 1","Via Alcide De Gasperi, 1",Pieve Tesino,Pieve Tesino,Trentino,Trentino,01/01/2020,01/01/2030,true,46.0692359,11.6077727,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=100,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=100
2,"Museo Storico Italiano della Guerra, Rovereto","Museo Storico Italiano della Guerra, Rovereto","b1, b2, b4",http://www.museodellaguerra.it/,0464 438100,info@museodellaguerra.it,"via Castelbarco 7, Rovereto","via Castelbarco 7, Rovereto",Rovereto,Rovereto,Trentino,Trentino,01/01/2020,01/01/2030,true,45.8872105,11.0473591,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=17,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=17
3,La Tana dell'Ermellino,La Tana dell'Ermellino,"b3, b4, b11",https://www.facebook.com/tanadellermellino/,348 210 5689,info@latanadellermellino.it,"Via Priore, 38010, Cavedago","Via Priore, 38010, Cavedago",Cavedago,Cavedago,Trentino,Trentino,01/01/2020,01/01/2030,true,46.1844064,11.0127318,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=982,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=982
4,Andel Haus,Andel Haus,"b3, b4, b11",https://www.facebook.com/ristorantepizzeriaandelhaus/,0461 585251,andelhaus@gmail.com,"Viale Trento, 23, 38010, Andalo","Viale Trento, 23, 38010, Andalo",Andalo,Andalo,Trentino,Trentino,01/01/2020,01/01/2030,true,46.1720004,11.0081801,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=989,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=989
5,Dal Barba,Dal Barba,"b3, b4, b11",https://www.locandadalbarba.it/,0464 462282,prenotazioni@locandadalbarba.it,"Via Antonio Pesenti, 1, 38060","Via Antonio Pesenti, 1, 38060",Villa Lagarina,Villa Lagarina,Trentino,Trentino,01/01/2020,01/01/2030,true,45.91843,11.03303,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=993,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=993
6,"Castel Stenico, Stenico","Castel Stenico, Stenico","b1, b2, b4",http://www.buonconsiglio.it/index.php/it/Castello-di-Stenico,0465 771004,info@buonconsiglio.it,"Val Giudicarie, 38070","Val Giudicarie, 38070",Stenico,Stenico,Trentino,Trentino,01/01/2020,01/01/2030,true,46.0505055,10.8521777,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=9,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=9
7,"Castel Beseno, Besenello","Castel Beseno, Besenello","b1, b2, b4",http://www.buonconsiglio.it/index.php/it/Castel-Beseno,0464 834600,info@buonconsiglio.it,"Via Castel Beseno, 38060","Via Castel Beseno, 38060",Calliano,Calliano,Trentino,Trentino,01/01/2020,01/01/2030,true,45.9309135,11.1096294,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=7,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=7
8,"Castello del Buonconsiglio, Trento","Castello del Buonconsiglio, Trento","b1, b2, b4",http://www.buonconsiglio.it,0461 233770,info@buonconsiglio.it,"Via Bernardo Clesio, 5, 38122","Via Bernardo Clesio, 5, 38122",Trento,Trento,Trentino,Trentino,01/01/2020,01/01/2030,true,46.0712528,11.1271495,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=6,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=6
9,"Castello Caldes, Caldes","Castello Caldes, Caldes","b1, b2, b4",http://www.buonconsiglio.it,0461 233770,info@buonconsiglio.it,"Via al Castello 12, 38022","Via al Castello 12, 38022",Caldes,Caldes,Trentino,Trentino,01/01/2020,01/01/2030,true,46.3657961,10.9458389,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=279,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=279
10,"Castel Thun, Vigo di Ton","Castel Thun, Vigo di Ton","b1, b2, b4",http://www.buonconsiglio.it,0461 657816,info@buonconsiglio.it,"Via Castel Thun, 1, 38010","Via Castel Thun, 1, 38010",Vigo di Ton,Vigo di Ton,Trentino,Trentino,01/01/2020,01/01/2030,true,46.2734025,11.0903701,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=8,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=8
11,"Giardino Botanico Alpino, Viote Monte Bondone","Giardino Botanico Alpino, Viote Monte Bondone","b1, b2, b4",http://www2.muse.it/giardinobotanico,0461 948050,giardino.botanico@muse.it,"Località Viote, 38050","Località Viote, 38050",Località Viote,Trento,Trentino,Trentino,01/01/2020,01/01/2030,true,46.0213755,11.03952,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=14,https://fcard.trentinofamiglia.it/DtSrv.aspx?id=14
