"NUMERO";"BENEFICIARIO";"PROGETTO";"PROGRAMMA_OPERATIVO";"STATO_ATTUAZIONE"
"1";"Comune di Acquasparta";"Progetto per il recupero, il restauro e la trasformazione in centro culturale dell'Ex Convento di S.Francesco - Lotto funzionale n. 2";"POR FESR 2007 -2013 Attività 2.2.2";"REALIZZATO"
"2";"Comune di Acquasparta";"Recupero, restauro e trasformazione in centro culturale dell'Ex Convento di S.Francesco - 6 Lotto funzionale";"PAR FSC 2007 - 2013 Azione 3.5.2a";"REALIZZATO"
"3";"Comune di Acquasparta";"Riqualificazione e valorizzazione Palazzo Cesi";"PAR FSC 2007 - 2013 Azione 3.5.2a";"REALIZZATO"
"4";"Comune di Acquasparta";"Completamento Palazzo Cesi. Riqualificazione del giardino e restauro della mura perimetrali";"PAR FSC 2007 - 2013 Azione 3.5.2a";"REALIZZATO"
"5";"Comune di Acquasparta";"Completamento delle opere di restauro e valorizzazione del complesso monumentale di Palazzo Cesi - Implementazione presso Palazzo Cesi del Centro esperienziale permanente della prima Accademia dei Lincei";"POR FESR 2014 - 2020 Azione 5.2.1";"IN CORSO DI REALIZZAZIONE"
"6";"Comune di Amelia";"Sistema bibliotecario – documentario. Risanamento tetto complesso museale Boccarini";"PAR FSC 2007 - 2013 Azione 3.5.2a";"REALIZZATO"
"7";"Comune di  Assisi";"Allestimento di Palazzo Monte Frumentario finalizzato alla valorizzazione ed implementazione dell'offerta culturale e congressuale";"POR FESR 2007 -2013 Attività 2.2.2";"REALIZZATO"
"8";"Comune di Assisi";"Valorizzazione degli spazi espositivi di Palazzo Vallemani e della Rocca Maggiore integrata con le attività culturali del Teatro Metastasio – Intervento “Primo stralcio Palazzo Vallemani – Teatro Metastasio";"PAR FSC 2007 - 2013 Azione 3.5.2a";"IN CORSO DI REALIZZAZIONE"
"9";"Comune di Assisi";"Riqualificazione e adegaumento IAT Area Vasta";"APQ Beni culturali II Atto integrativo";"REALIZZATO"
"10";"Comune di Assisi";"Valorizzazione degli spazi espositivi di Palazzo Vallemani e della Rocca Maggiore integrata con le attività culturali del Teatro Metastasio – Intervento Riqualificazione della Rocca Maggiore";"POR FESR 2014 - 2020 Azione 5.2.1";"IN CORSO DI REALIZZAZIONE"
"11";"Comune di Bastia Umbra";"Riqualificazione sito archeologico Via Renzini";"POR FESR 2007 -2013 Attività 2.2.2";"REALIZZATO"
"12";"Comune di Bettona";"Sistema museale di Bettona - Compeltamento della sezione archeologica ed adeguamento dell'impianto di climatizzazione";"PAR FSC 2007 - 2013 Azione 3.5.2a";"REALIZZATO"
"13";"Comune di Bettona";"Lavori di movimentazione e restauro del portone della cinta muraria";"PAR FSC 2007 - 2013 Azione 3.5.2a";"REALIZZATO"
