Fid;NAME;PROVINCIA;LOCALITA;ALTITUDINE;NOME_SCIENTIFICO;NOME_VOLGARE;ALTEZZA;SCHEDA;gx_media_l;LATITUDINE;LONGITUDINE
1;Contrada;Avellino;Sentiero Monte Faliesi - Tre Faggi;780;Fagus sylvatica;Faggio;28;http://agricoltura.regione.campania.it/foreste/monum/scheda_01.html;https://lh3.googleusercontent.com/uh8Er2W--Miok_apoEyhSpvKGH8cdCXLEUTnw1rrhEqY_XDSbc-_IP7tsiji3BP07ExTLiZyyeEW9l7kZYD_zkB46Hw3QchLRUmtsAr0Xp8CoLelo7pYzIuljpY_baoB3g https://lh5.googleusercontent.com/fAb2BYpWeRje-DLVUw3RVK5un-sxDbZalO-enwvb5YoIJ6ICIIFNw-N;40,8761;14,7666
2;Contrada;Avellino;Sentiero Monte Faliesi - Cappella San Michele;875;Quercus cerris;Cerro;12;http://agricoltura.regione.campania.it/foreste/monum/scheda_02.html;https://lh4.googleusercontent.com/Tnz2LHE0AID4L3mqmgiA5U8oODC2bquumPSVqwmqw1cD3-hzwcoXCkdonZUbrohfWMkIy00Vd8hODhTuKwg_fSTiCQ0Ye5A2cb-4GmdhLpCrqFAz3RwQF3QQexqGKWO7BA https://lh3.googleusercontent.com/epJJSgmrWUPTKroFZrxfocVGTE39zuV_vZHNaOMAaxZ1vZF0tACbxwL;40,8747;14,7666
3;Forino;Avellino;Via Largo Ponte;425;Platanus acerifolia;Platano comune;20;http://agricoltura.regione.campania.it/foreste/monum/scheda_03.html;https://lh5.googleusercontent.com/NrOUTFFedT4PVcqpWEGqBk7x64xI9ckw7VKFF7m9xA-uj3wxxcmUxDOQGSBuTWtuUpKFSMl_5YHyGZP2TO6PbeNTs9S9B8nvlIYX96KMZiYESq5LQHtcDUzMN7fY6ypl;40,8613;14,7333
4;Forino;Avellino;Collegiata della Santissima Annunziata;400;Tilia vulgaris;Tiglio intermedio;25;http://agricoltura.regione.campania.it/foreste/monum/scheda_04.html;https://lh4.googleusercontent.com/mf-SVD-EcMLYvwe_0tBzJYcNYnhQmGVUI-0ntVzT7Q-YsQMiPddvoDJWytnKa6ijE1ODi-ULIUre1zDB3gkmOCgGiUeAroq04H6kuVF5N_AWuRCFPB12VW41I5zm9c82;40,8611;14,7497
5;Forino;Avellino;Petruro di Forino;435;Tilia vulgaris;Tiglio intermedio;32;http://agricoltura.regione.campania.it/foreste/monum/scheda_05.html;https://lh6.googleusercontent.com/UNaU812RcGRWe3p6dBltCffM_Ulnwlc6XL3kndF5lrU0JehO3JPa6BmZ-xBA6sUWLdIDI0g5Kps5rvYxKWvyJN_5KgqDc8x-D5evKvrJFB3lbBVh8HcrPcVuOFM3nSc;40,8666;14,7527
6;Manocalzati;Avellino;San Barbato - Castello;450;Tilia cordata;Tiglio selvatico;6;http://agricoltura.regione.campania.it/foreste/monum/scheda_06.html;https://lh3.googleusercontent.com/FzxLG5DR8P1uyI0HlOmpPSrASEBWqPTJxC7--_WcM-ujQ-kPn3o3vDpnoSZhbhNM5JFd_aWIniLRDoIPPGye1RfUPElD_c-V5X1vSif6-hvDPEfOSBKZiBiwlF2sX0Ly;40,9508;14,8475
7;Rocca San Felice;Avellino;Piazza San Felice;750;Tilia cordata;Tiglio selvatico;10;http://agricoltura.regione.campania.it/foreste/monum/scheda_07.html;https://lh5.googleusercontent.com/JsHpcfBCkr3o_bFYdfpZnJYVRBaeIN0qGfDjgxdQoQNFSldpxQKEpjluJev9EB5cm9Qy7ymJHyRwZci5kIskHFTyyEreqxPcx8huae7Z3NCmRfcN-GlbFkNZKAErBfmO https://lh5.googleusercontent.com/hA8hDk0YlFtRLZzFcWbfYD-yz_3_jU2XE08963NrwPunqVPzs6-RrEY8J;40,95;15,1666
8;Tufo;Avellino;Lo Raio;230;Platanus occidentalis;Platano occidentale;40;http://agricoltura.regione.campania.it/foreste/monum/scheda_08.html;https://lh3.googleusercontent.com/84h-hArHSvBZzXZkg3gqylMx9bqKQt3Sa7YHEZwtKUvoimqoCSFqpJGEtp3tQugUqd9oBEeTipN9lIHWrSDPt6yagAGhA12uNOEvYsjtbQqjl7z03jFwJrUvgq-xClgg;41,0125;14,8127
9;San Bartolomeo in Galdo;Benevento;Contrada Solfatara;643;Fraxinus excelsior;Frassino maggiore;19;http://agricoltura.regione.campania.it/foreste/monum/scheda_09.html;https://lh5.googleusercontent.com/SkpLbDp9s_rM_OhNyNFZ8d1WgXjruP4hluS2Zi2bj6wNJyerFR8hOpHiEqYBKlLGGKh84mrhaYI_3RXNJAs7UlFqd0Vm5ojs_Z2yfRS3iV2u1YVHOiwyLgNahzbOssY-qQ;41,4282;15,0719
10;Caserta - San Leucio;Caserta;S.Leucio;145;Platanus acerifolia;Platano comune;18;http://agricoltura.regione.campania.it/foreste/monum/scheda_10.html;https://lh5.googleusercontent.com/eEscwwPhZDz-ouZWC3n0k6Kc4LD5J2KU-o81RzcGWJp4hJIGRd9e4uhkLkie45nljWakU2qdNe8fq9hhNfJuxl9z272ECpqCKN_-wUFI5mJ06PYlTEDc20xacfNEa3Q https://lh4.googleusercontent.com/mtmKgm4Mr75wMdgSaE8C9v0vSGOljqFvaM8sNKBQ5NLH-jal6P8dz7f2YU;41,0983;14,3158
