04/01/2000;Egypt;Togo;2;1;Friendly;FALSE
07/01/2000;Tunisia;Togo;7;0;Friendly;FALSE
08/01/2000;Trinidad and Tobago;Canada;0;0;Friendly;FALSE
09/01/2000;Burkina Faso;Gabon;1;1;Friendly;FALSE
09/01/2000;Guatemala;Armenia;1;1;Friendly;TRUE
09/01/2000;Ivory Coast;Egypt;2;0;Friendly;FALSE
09/01/2000;Mexico;Iran;2;1;Friendly;TRUE
11/01/2000;Bermuda;Canada;0;2;Friendly;FALSE
11/01/2000;Burkina Faso;Cameroon;2;2;Friendly;FALSE
13/01/2000;Senegal;Cameroon;0;0;Friendly;FALSE
14/01/2000;China;New Zealand;1;0;Friendly;FALSE
16/01/2000;Jamaica;New Zealand;2;1;Friendly;TRUE
16/01/2000;USA;Iran;1;1;Friendly;FALSE
18/01/2000;Ghana;Tunisia;2;0;Friendly;FALSE
18/01/2000;Morocco;Trinidad and Tobago;1;0;Friendly;FALSE
19/01/2000;Panama;Guatemala;2;0;Friendly;FALSE
19/01/2000;Togo;Egypt;1;0;Friendly;FALSE
20/01/2000;Burkina Faso;Algeria;1;0;Friendly;FALSE
20/01/2000;Malta;Qatar;2;0;Friendly;FALSE
21/01/2000;New Zealand;Korea Republic;0;1;Friendly;FALSE
22/01/2000;Ghana;Cameroon;1;1;African Cup of Nations;FALSE
23/01/2000;China;Philippines;8;0;AFC Asian Cup qualification;TRUE
23/01/2000;Egypt;Zambia;2;0;African Cup of Nations;TRUE
23/01/2000;New Zealand;Korea Republic;0;0;Friendly;FALSE
23/01/2000;Nigeria;Tunisia;4;2;African Cup of Nations;FALSE
23/01/2000;South Africa;Gabon;3;1;African Cup of Nations;TRUE
23/01/2000;Vietnam;Guam;11;0;AFC Asian Cup qualification;FALSE
24/01/2000;Congo DR;Algeria;0;0;African Cup of Nations;TRUE
24/01/2000;Ivory Coast;Togo;1;1;African Cup of Nations;TRUE
24/01/2000;Qatar;Bosnia-Herzegovina;2;0;Friendly;FALSE
25/01/2000;Burkina Faso;Senegal;1;3;African Cup of Nations;TRUE
25/01/2000;Morocco;Congo;1;0;African Cup of Nations;TRUE
